,rotate_angle,isDoll,success,labels
51,1.99399,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2]
52,2.90513,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0]
53,1.03083,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2]
54,0.488209,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2]
55,-2.89103,1.0,1,[3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
56,-0.553794,1.0,0,[3 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2]
57,2.52112,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2]
58,-1.322,1.0,0,[3 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2]
59,2.55348,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2]
60,0.0669871,1.0,0,[3 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2]
61,-0.741598,1.0,0,[3 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2]
62,0.812942,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2]
63,-2.19948,1.0,1,[3 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
64,2.96357,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0]
65,-1.49776,1.0,0,[3 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2]
66,3.13591,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0]
67,-1.45708,1.0,1,[3 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2]
68,3.01511,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0]
69,2.87485,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0]
70,0.989671,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2]
71,-1.75209,1.0,0,[3 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
72,1.99093,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2]
73,-2.98506,1.0,1,[3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
74,-3.03485,1.0,1,[3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
75,1.82922,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2]
76,-2.03786,1.0,1,[3 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
77,2.44675,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2]
78,1.31489,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2]
79,0.373209,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2]
80,-1.87279,1.0,0,[3 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
81,2.84541,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0]
82,-0.0359082,1.0,0,[3 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2]
83,-0.13926,1.0,0,[3 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2]
84,-0.830336,1.0,0,[3 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2]
85,0.797976,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2]
86,0.980125,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2]
87,1.64645,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2]
88,-0.422686,1.0,0,[3 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2]
89,-1.27697,1.0,0,[3 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2]
90,2.30705,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2]
91,2.38301,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2]
92,-2.97229,1.0,1,[3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
93,1.1827,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2]
94,-1.94416,1.0,0,[3 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
95,2.97791,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0]
96,2.58711,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2]
97,-2.37609,1.0,0,[3 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
98,2.33455,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2]
99,0.0318299,1.0,0,[3 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2]
100,-1.33371,1.0,1,[3 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2]
101,-0.920532,1.0,1,[3 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2]
102,1.2618,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2]
103,0.199626,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
104,-1.52535,1.0,1,[3 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2]
105,-0.0972361,1.0,0,[3 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2]
106,1.40678,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2]
107,1.9596,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2]
108,1.36381,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2]
109,2.55231,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2]
110,2.69145,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2]
111,-1.42417,1.0,0,[3 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2]
112,0.886617,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2]
113,-1.92653,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
114,-2.00475,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
115,-3.11721,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
116,-0.00829782,1.0,0,[3 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2]
117,0.972301,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
118,0.849882,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2]
119,2.4114,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2]
120,-2.89282,1.0,1,[3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
121,1.7611,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2]
122,3.05321,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1]
123,0.283496,1.0,0,[3 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2]
124,-2.72352,1.0,0,[3 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
125,-2.62357,1.0,1,[3 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
126,-0.184991,1.0,0,[3 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2]
127,1.13606,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2]
128,0.342883,1.0,0,[3 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2]
129,0.159233,1.0,0,[3 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2]
130,-2.94733,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
131,2.439,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2]
132,2.83657,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0]
133,2.30459,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2]
134,-2.36913,1.0,0,[3 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
135,1.88401,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2]
136,-0.674951,1.0,1,[3 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2]
137,3.09021,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1]
138,-2.27538,1.0,0,[3 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
139,-2.65442,1.0,0,[3 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
140,-1.27526,1.0,0,[3 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2]
141,-2.11983,1.0,1,[3 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
142,-2.46821,1.0,0,[3 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
143,1.38505,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2]
144,1.53902,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2]
145,0.18294,1.0,0,[3 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2]
146,0.791318,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2]
147,2.84705,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0]
148,-2.66248,1.0,0,[3 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
149,-2.78783,1.0,0,[3 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
150,1.3379,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2]
151,1.40982,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2]
152,0.794477,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
153,-0.748994,1.0,0,[3 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2]
154,-1.86448,1.0,0,[3 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
155,2.32363,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2]
156,-1.51114,1.0,0,[3 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2]
157,-2.09542,1.0,0,[3 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
158,0.545409,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
159,-2.06549,1.0,0,[3 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
160,0.892008,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2]
161,-0.515705,1.0,0,[3 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2]
162,-2.04638,1.0,0,[3 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
163,-1.33166,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
164,-1.36385,1.0,0,[3 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2]
165,1.55069,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2]
166,2.84563,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0]
167,2.70375,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2]
168,1.22138,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2]
169,0.589051,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2]
170,-0.0733201,1.0,1,[3 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2]
171,-1.43091,1.0,0,[3 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2]
172,1.816,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2]
173,2.69161,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2]
174,2.38623,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2]
175,0.460716,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2]
176,-2.29057,1.0,0,[3 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
177,2.07989,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2]
178,-0.744878,1.0,0,[3 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2]
179,0.140675,1.0,0,[3 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2]
180,1.78123,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2]
181,1.31296,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2]
182,-1.22014,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
183,-0.414758,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
184,-1.41967,1.0,0,[3 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2]
185,2.34673,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2]
186,-1.0052,1.0,0,[3 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2]
187,-1.75285,1.0,0,[3 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
188,-0.922504,1.0,1,[3 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2]
189,-1.87795,1.0,0,[3 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
190,0.31281,1.0,0,[3 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2]
191,-1.33038,1.0,0,[3 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2]
192,2.61304,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2]
193,0.613981,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2]
194,1.98384,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2]
195,-3.02269,1.0,0,[3 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
196,1.03724,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2]
197,1.27191,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
198,-2.9957,1.0,1,[3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
199,0.421875,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2]
200,-2.81003,1.0,0,[3 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
201,0.221252,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
202,2.66712,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2]
203,-2.60389,1.0,0,[3 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
204,-1.53144,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
205,-1.06653,1.0,0,[3 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2]
206,0.675314,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2]
207,-0.706068,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
208,2.68542,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2]
209,-2.99681,1.0,1,[3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
210,2.0962,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2]
211,-1.35476,1.0,1,[3 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2]
212,-2.3269,1.0,0,[3 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
213,-2.52978,1.0,0,[3 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
214,-1.0902,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
215,-2.48048,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
216,-0.969202,1.0,1,[3 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2]
217,-0.550542,1.0,0,[3 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2]
218,1.27607,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2]
219,-1.44461,1.0,1,[3 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2]
220,3.13337,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1]
221,2.31986,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2]
222,2.24347,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
223,-1.60383,1.0,1,[3 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2]
224,2.54754,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2]
225,-0.152029,1.0,0,[3 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2]
226,0.853331,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2]
227,0.422653,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2]
228,1.89859,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 1 2 2 2]
229,-1.47943,1.0,0,[3 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2]
230,2.3726,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2]
231,-2.66789,1.0,0,[3 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
232,-3.07531,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
233,-2.80147,1.0,0,[3 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
234,-2.66447,1.0,0,[3 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
235,-2.03945,1.0,0,[3 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
236,-1.33364,1.0,1,[3 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2]
237,-0.0780605,1.0,0,[3 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2]
238,-1.83408,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
239,2.90539,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0]
240,2.27092,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
241,-1.15056,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
242,2.34719,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2]
243,-0.641791,1.0,1,[3 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2 2 2 2]
244,-3.07549,1.0,1,[3 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
245,-2.20252,1.0,0,[3 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
246,-0.409206,1.0,0,[3 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2]
247,2.39241,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2]
248,-1.65128,1.0,0,[3 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2]
249,-0.949633,1.0,0,[3 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2 2 2]
250,0.26028,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
251,-3.02673,1.0,0,[3 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
252,1.57512,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2]
253,0.659102,1.0,1,[3 2 2 2 2 2 2 2 2 2 2 1 2 2 2 2 2 2 2]
254,-2.14061,1.0,0,[3 2 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
255,0.552133,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2]
256,1.83815,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2]
257,-1.18532,0.0,0,[0 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
258,0.65057,1.0,0,[3 2 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2]
259,-0.26764,1.0,0,[3 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 2 2 2]
260,-2.74074,1.0,0,[3 2 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
